smiles,family,y_true,y_pred,abs_error,rf_pred,gb_pred,disagreement,max_tanimoto,nearest_train_smiles,ad_status,pri_recalibrated,pri_category,pri_as_published_equations,pri_as_deployed_code,conformal_halfwidth_a0.1,conformal_covered_a0.1,conformal_halfwidth_a0.2,conformal_covered_a0.2,conformal_halfwidth_a0.32,conformal_covered_a0.32
[*]c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc6c(c5)C(=O)N(c5ccc(Oc7ccc(N8C(=O)c9ccc([*])cc9C8=O)cc7)cc5)C6=O)cc4)cc3)cc2)cc1,polyimide,517.15,555.6149780869916,38.464978086991664,563.00736046176,548.2225957122233,7.392382374768317,0.75,[*]Oc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)cc3)cc1)C2=O,IN_DOMAIN,0.5648875595811845,moderate,0.8477856100632749,0.8400866557278465,77.51700116651342,True,56.598946765291984,True,41.91768619197392,True
[*]c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc6c(c5)C(=O)N(c5cccc(N7C(=O)c8ccc([*])cc8C7=O)c5)C6=O)cc4)cc3)cc2)cc1,polyimide,510.15,579.0224580823879,68.87245808238788,580.4827065873014,577.5622095774744,1.4602485049135225,0.7,[*]c1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4cccc([*])c4C3=O)c1)C2=O,IN_DOMAIN,0.5757254846149573,moderate,0.8538259151718574,0.8608491242723382,45.04201120597342,False,32.88737123579362,False,24.35668127991241,False
[*]c1ccc(-c2ccc(-c3ccc(-c4ccc(N([*])c5ccc(C)cc5)cc4)c4c(C)ccc(C)c34)c3c(C)ccc(C)c23)cc1,aromatic_hc,421.15,450.403773230833,29.25377323083302,444.4558635555543,456.3516829061117,5.947909675278709,0.6451613,[*]c1ccc(-c2ccc(N([*])c3ccc(C)cc3)cc2)cc1,IN_DOMAIN,0.5534689372732169,moderate,0.8480817138000378,0.84514231017606,69.60935150058513,True,50.82518570971341,True,37.641587114038465,True
[*]c1ccc(-c2ccc(-c3ccc(-c4ccc([*])n4CCCCCCCCCCCC)s3)s2)s1,heterocycle,325.15,298.7628812610559,26.387118738944082,322.7583922340956,274.76737028801625,23.99551097303967,0.50877196,[*]c1ccc2c(c1)Sc1cc(-c3ccc(-c4ccc([*])s4)s3)ccc1N2CCCCCC,IN_DOMAIN,0.47854041877834297,low,0.7925458383390963,0.7819757056338966,168.4094938802045,True,122.9639928719676,True,91.06823290358564,True
[*]c1ccc(-c2ccc(-c3ccc(Oc4ccc(Sc5ccc(Oc6ccc([*])cc6C(F)(F)F)cc5)cc4)c(C(F)(F)F)c3)cc2)cc1,fluoropolymer,449.65,453.16859834290597,3.518598342905989,466.0803613492055,440.25683533660646,12.911763006299509,0.59574467,[*]c1ccc(Oc2ccc(-c3ccc(-c4ccc(Oc5ccc(C([*])(C)C)cc5)c(C(F)(F)F)c4)cc3)cc2C(F)(F)F)cc1,IN_DOMAIN,0.5243973415612905,moderate,0.8349944458071669,0.8207688235174873,107.73240670687456,True,78.66068940155616,True,58.25681010729934,True
[*]c1ccc(-c2ccc(-c3cnc4cc(-c5ccc6nc([*])cnc6c5)ccc4n3)cc2)cc1,aromatic_hc,618.65,639.9570499903367,21.307049990336736,644.5948623214297,635.3192376592438,4.6378123310929595,0.9677419,[*]c1ccc(-c2cnc3cc(-c4ccc5nc([*])cnc5c4)ccc3n2)cc1,IN_DOMAIN,0.6065889082322475,moderate,0.8515482582364227,0.8497276508807101,62.43732891424999,True,45.588541896680915,True,33.76328186987717,True
[*]c1ccc(-c2ccc(-c3cnc4cc(Oc5ccc6nc([*])cnc6c5)ccc4n3)cc2)cc1,polyether,663.15,617.8524905840337,45.29750941596626,631.2974133477649,604.4075678203026,13.444922763731142,0.8947368,[*]c1ccc(Oc2ccc(-c3cnc4cc(Oc5ccc6nc([*])cnc6c5)ccc4n3)cc2)cc1,IN_DOMAIN,0.5681813673493008,moderate,0.8379662616821654,0.8189027643664765,110.65114693590787,True,80.7918041294068,True,59.835132735308335,True
[*]c1ccc(-c2ccc(-c3cnc4ccc(-c5ccc6ncc(-c7ccc([*])cc7)nc6c5)cc4n3)cc2)cc1,aromatic_hc,578.15,637.2816673621858,59.131667362185794,644.0614811904771,630.5018535338944,6.779813828291367,0.78125,[*]c1ccc(-c2cnc3cc(-c4ccc5nc([*])cnc5c4)ccc3n2)cc1,IN_DOMAIN,0.5715800082200007,moderate,0.8487471410941192,0.8422306456405156,74.16354390586862,True,54.15042391070934,False,40.10428826642787,False
[*]c1ccc(-c2ccc(-c3nc4ccc(-c5ccc6nc([*])c(-c7ccccc7)c(-c7ccccc7)c6c5)cc4c(-c4ccccc4)c3-c3ccccc3)cc2)cc1,aromatic_hc,693.15,633.6442614436905,59.50573855630944,634.4360709884572,632.8524518989238,0.7918095447666929,0.48,[*]Oc1ccc2nc(-c3ccccc3)c(-c3ccc(Oc4ccc(-c5c(-c6ccccc6)nc6ccc([*])cc6c5-c5ccccc5)cc4)cc3)c(-c3ccccc3)c2c1,IN_DOMAIN,0.5452266698308879,moderate,0.8332194474820301,0.863188660632852,41.38269585735782,False,30.21552645984812,False,22.377889142027115,False
[*]c1ccc(-c2ccc(-c3nc4ccccc4c(-c4ccc(Oc5ccc(-c6c(-c7ccccc7)c([*])nc7ccccc67)cc5)cc4)c3-c3ccccc3)cc2)cc1,polyether,618.15,598.5678754906056,19.58212450939436,608.3517865331895,588.7839644480217,9.783911042583895,0.7692308,[*]c1ccc2nc(-c3ccccc3)c(-c3ccc(Oc4ccc(-c5c(-c6ccccc6)nc6ccc([*])cc6c5-c5ccccc5)cc4)cc3)c(-c3ccccc3)c2c1,IN_DOMAIN,0.5603685781316222,moderate,0.8443701203514042,0.8317163053904918,90.60923259310387,True,66.15822406448378,True,48.997372457360456,True
